name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,price
*** Huge Westwood LA 5 bed Home ***,2015-07-07,within an hour,100%,100%,f,South Robertson,3,"['email', 'phone', 'reviews', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",t,t,Apartment,Entire home/apt,10,2,4,5,Real Bed,89,96,t,strict_14_with_grace_period,1.78,$849.00
CONTEMPORARY CHARMING COTTAGE 2,2012-11-29,within an hour,100%,96%,f,Logan Circle,7,"['email', 'phone', 'reviews', 'kba']",t,t,House,Entire home/apt,6,1,2,3,Real Bed,96,91,f,strict_14_with_grace_period,1.97,$180.00
RESORT STYLE 2 BED/2 BATH UCLA (sanitized unit),2016-02-09,within a few hours,90%,86%,f,Westwood,10,"['email', 'phone', 'reviews']",t,f,Apartment,Entire home/apt,6,2,2,4,Real Bed,4,95,f,strict_14_with_grace_period,0.08,$210.00
Cozy furnished Westwood studio!,2016-04-02,N/A,N/A,N/A,f,Westwood,1,"['email', 'phone', 'google', 'jumio', 'government_id']",t,t,Apartment,Entire home/apt,1,1,0,1,Real Bed,0,NA,f,strict_14_with_grace_period,NA,$52.00
Private Jr. Executive Luxury Suite,2016-04-03,N/A,N/A,N/A,f,Westwood,1,"['email', 'phone', 'kba']",t,f,Apartment,Entire home/apt,2,1,1,2,Real Bed,0,NA,f,strict_14_with_grace_period,NA,$89.00
LARGE 2+2 WESTWOOD/BVRLY HLS/UCLA,2015-10-19,within a few hours,100%,60%,f,Westwood,5,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,f,Apartment,Entire home/apt,6,2,2,4,Real Bed,43,94,f,flexible,0.87,$250.00
One bedroom,2015-05-22,N/A,N/A,93%,t,Westwood,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,f,Apartment,Private room,1,1,1,1,Real Bed,180,94,f,flexible,4.25,$63.00
Master Bedroom within Apt near UCLA,2014-05-12,N/A,N/A,N/A,f,Westwood,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,Apartment,Private room,2,1,1,2,Real Bed,0,NA,f,flexible,NA,$225.00
2 bedroom 1 bath in Westwood,2016-04-08,within an hour,100%,99%,t,Westwood,7,"['email', 'phone', 'reviews']",t,f,Apartment,Entire home/apt,5,1,2,2,Real Bed,101,96,f,flexible,2.25,$350.00
CONTEMPORARY CONVENIENT & CENTRAL,2012-11-29,within an hour,100%,96%,f,Logan Circle,7,"['email', 'phone', 'reviews', 'kba']",t,t,House,Entire home/apt,10,2,4,5,Real Bed,2,90,f,strict_14_with_grace_period,0.08,$400.00
Master Suite Wilshire Corridor,2016-01-12,within a day,100%,100%,f,Westwood,0,"['email', 'phone', 'reviews', 'kba']",t,f,Apartment,Private room,1,1,1,1,Real Bed,11,98,f,moderate,0.23,$99.00
Entire home in Westwood near UCLA,2013-09-10,N/A,N/A,N/A,f,Westwood,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,6,96,f,moderate,0.12,$100.00
Peaceful and Private,2016-05-15,N/A,N/A,N/A,f,Westwood,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,Apartment,Private room,2,1,1,1,Real Bed,9,93,f,flexible,0.2,$99.00
1/1 Walk to UCLA! Westwood Vacation Home w Parking,2015-10-27,within an hour,100%,99%,t,Westwood,3,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,156,97,f,moderate,3.38,$115.00
